	R0235	R0236	R0238	R0251	R0252	R0253	R0324	R0326	R0328	R0336	R0338	R0340	R0348	R0350	R0352	R0360	R0362	R0364
ENSBTAG00000017407	2.2586030694956	2.28414057779413	2.27550905622007	2.7031214133285	2.77942127378829	2.77704421520903	2.68108882293846	2.53003285819073	2.49215223277246	2.52005198122622	2.77870694387191	2.87890301556319	2.56544055506135	2.57047075097453	2.55550460510729	2.79319047652006	2.79816357017928	3.07790576975033
ENSBTAG00000003143	4.80189836471676	4.83541625031477	4.80882571474771	4.66937215178528	4.65873236170638	4.63984617942545	4.74599135280928	4.64614990193185	4.60878221952507	4.54487343810127	4.50965840566146	4.415266007263	4.61558968886921	4.67934113076706	4.67553230012186	4.47985928140432	4.4348488581595	4.43269667370601
ENSBTAG00000003140	-4.3983108574946	-5.44056971680761	-5.77938860009584	-4.07642414376922	-3.79929037166354	-5.03195144201949	-4.61689322952331	-6.4939469335462	-3.99971446382814	-3.4327680301307	-5.92062288018037	-3.92044149937105	-6.50804317477499	-7.49417284127121	-4.94175882074688	-4.70088972027105	-3.27417970063183	-3.63845695623173
ENSBTAG00000017418	6.33051067484257	6.27230494814156	6.23229435026918	6.07806869302294	6.1325743682016	6.10645917790156	6.46978947030465	6.52151971486232	6.40031167826074	5.93479119647284	6.02795576444837	5.97521980475692	6.4807685744045	6.43734352060705	6.45456809871241	5.97459847828025	6.05353191111079	6.04736080144588
ENSBTAG00000018186	6.25838798595192	6.14849282123581	6.20643358443277	6.09040727515084	6.0464596903461	5.90374877864004	6.51182458677815	6.39102181252665	6.42028102131333	6.14106358464238	5.77840677807425	5.90951154484012	6.31193093405407	6.27013954866674	6.26697596670178	6.08208860821356	6.109379225949	5.94223204842245
ENSBTAG00000018189	8.11671309627812	8.22291538401877	8.21750169684731	7.61907200502296	7.76256152959579	7.81209808181679	7.98193181992086	7.7678596916206	7.90397124329191	7.20484797236873	7.69713777129924	7.51743362675499	7.74572680722201	7.69329397524656	7.69681400730707	6.89759445175194	6.98187105296203	7.32588449236406
ENSBTAG00000000524	7.09092356501397	7.16674673114263	7.18174493519015	6.54072915484499	6.71017310238081	6.73832702996784	7.10958278768365	6.94103744137995	6.98682735560742	7.05372424710021	7.49003905008913	7.40302352120735	6.74781046372753	6.76604107700693	6.7164620792269	6.58372275332534	6.77888676788505	7.0722637116082
ENSBTAG00000020762	1.06166042013781	0.894059666574238	0.880688184063864	1.50165661639006	1.20717940562119	1.04935505020212	1.45507545519821	1.52029853541226	1.35765078702611	1.0669120511453	0.460286613083704	0.883346213503012	0.58134199939894	0.226098432994263	0.564856831687918	0.396356101004585	0.336298549024811	0.424720073409723
ENSBTAG00000003981	5.72290060641182	5.73309788894832	5.69921979329417	5.55728802733951	5.67067044314346	5.6681807076161	6.14513878405293	6.01084963926773	6.00435032923723	5.76081572893954	6.04865024817202	6.00691685129958	5.91153982933669	5.86088056502833	5.76130462506747	5.44758891543046	5.61709407963205	5.84083999329491
ENSBTAG00000018855	6.08768667864297	6.04420905708883	6.02185514374539	6.1259145568492	6.0337443752244	6.05798254032911	6.05459102968818	6.18058153346938	6.07079270780319	6.01306649257706	5.8471898049155	5.9457872310327	6.20033456183948	6.20457253133777	6.18510871813588	6.13595665399252	6.20372644026414	6.09184717355081
ENSBTAG00000020456	5.76016191699971	5.74787722961227	5.7168641838046	5.77803259301347	5.77796547727352	5.71479998173775	6.31178936810858	6.15609641928633	6.24210758084688	5.95517860663398	5.83809543249591	5.79753806302188	5.87255112611485	5.8999254700176	5.96241349673696	5.74472203525054	5.82081787205947	5.66932663976137
ENSBTAG00000018854	7.36159859857061	7.50815368947003	7.46481125112484	7.47087546179416	7.62590546649348	7.69883383651944	7.16923058971233	7.3146901197596	7.23957942962356	7.58526809874138	7.90553819624064	7.81822967645995	7.33340530345274	7.35405084799917	7.36995114777413	7.43209494288891	7.51291583428694	7.7671617635502
