R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000011528 5.19909454157553 6.0304399579541 5.88658039669707 6.16074694092851 5.75320052112732 6.83726465717962 5.40293471659075 5.10582527812581 4.86987173178792 5.3009991907086 6.57118364535518 6.26445064888393 4.38946195396881 5.22520225179796 5.40930189434874 3.03884675641942 3.85986317809158 4.66112981779491
ENSBTAG00000026260 0 0 0 0 0.010508128805712 0 0 0 0 0 0 0.011611586003492 0 0 0 0 0 0
ENSBTAG00000054497 0.0746831260115822 0.0449613417182039 0.0243247123830457 0.0205529505952578 0.07881096604284 0.119741937954109 0.0283618620293478 0.0580207417968842 0.0299868949001719 0.0585745766929127 0.0839097672192201 0.017417379005238 0.120474492770027 0.115574904288896 0.109331414611476 0.0775216009290669 0.0506664617649253 0.0673087338309734
ENSBTAG00000012594 35.9340733232651 37.8686900621572 38.9012962785859 31.3843555589586 31.3930348070646 34.3539619990338 44.050698708582 37.6238137488341 37.4716238672548 33.2361910585035 43.1977970365448 39.5722850999007 41.8832193125711 41.0655883607544 40.8222677127897 32.1456238519197 31.9290829958602 37.5204123149032
ENSBTAG00000021259 32.584822364438 28.3649864564719 31.8957791122687 27.7259303530027 27.1950373491826 23.1580908003247 33.4953590566598 32.7922683410208 33.7052698677932 26.9931174259839 21.8217838374484 20.2796349550988 34.6966539177677 32.8536872665434 36.3188546823646 25.8870466035797 25.7708048704325 22.1109190634748
ENSBTAG00000049850 0.0114897116940896 0 0 0 0 0 0 0 0.00599737898003438 0 0 0 0 0 0 0 0.0184241679145183 0
ENSBTAG00000018278 135.210927216046 149.288515007581 146.124628463052 123.677380206964 135.307920566751 149.557680504682 139.82870678169 158.422998169947 142.749614482778 121.556890281967 155.170137030143 150.846113771364 171.555677704518 170.260082686641 165.376780244454 110.333910548977 114.718081519748 144.629641819304
ENSBTAG00000030836 27.1559335889807 26.5384319491699 26.562585922286 24.8228260814226 22.3140115189294 19.715510084144 20.9925048787223 25.6293440355509 23.6116810443954 22.6976484685037 15.9271226902982 17.3535152822188 30.1500513210554 29.9460659902228 31.1802781956252 23.2358078518056 22.5696056952849 17.0501436385584
ENSBTAG00000021997 84.150648447512 81.4530906902412 81.3965688117668 95.5969114561926 86.8969711588353 83.0889307463561 85.1328558580923 105.402589393376 91.6639403308455 103.442702439684 67.2694115075585 73.7858232591899 88.9992220285012 90.1484253453385 94.1291417226421 105.558579931746 99.3615375629971 82.8233969790128
ENSBTAG00000021270 0 0.022480670859102 0.0121623561915229 0 0 0 0 0 0 0 0 0 0 0 0.0104125156772834 0 0 0
ENSBTAG00000054338 0 0 0 0.0102764752976289 0 0 0 0 0 0 0 0 0 0 0 0 0 0
