Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_INTERFERON_GAMMA_RESPONSE	3	3	0.500262815125614	0.60938639593889	0.495419319525162	0.539865935218052	0.109123580813276	0.0444466156928899	1	0.0808555983700523	0.122508482378867	1	0.0444466156928899	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_MYOGENESIS	3	3	0.330735228846841	0.36238202181413	0.329930643540434	0.372139541857154	0.0316467929672894	0.0422088983167198	1	0.0808555983700523	0.122508482378867	1	0.0422088983167198	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_KRAS_SIGNALING_DN	3	3	-0.0108192927986345	0.0384357460278662	-0.00757707238545969	0.0328903706841031	0.0492550388265006	0.0404674430695628	1	0.0808555983700523	0.122508482378867	1	0.0404674430695628	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_PANCREAS_BETA_CELLS	3	3	0.279520597615637	0.314901242813704	0.27552044334835	0.314837490910018	0.0353806451980677	0.0393170475616675	1	0.0808555983700523	0.122508482378867	1	0.0393170475616675	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_APICAL_SURFACE	3	3	0.294465112560901	0.333865969601673	0.301048366730948	0.337781359400051	0.0394008570407716	0.0367329926691037	1	0.0808555983700523	0.122508482378867	1	0.0367329926691037	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3	3	0.770467556867817	0.804004292667747	0.768638318185965	0.804316780884575	0.0335367357999301	0.0356784626986102	1	0.0808555983700523	0.122508482378867	1	0.0356784626986102	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ESTROGEN_RESPONSE_EARLY	3	3	0.397554783703863	0.427311090548181	0.402237777837165	0.435675971663904	0.0297563068443174	0.0334381938267387	1	0.0808555983700523	0.122508482378867	1	0.0334381938267387	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_XENOBIOTIC_METABOLISM	3	3	0.451950126704605	0.482002181679008	0.449446156857801	0.481583492300804	0.0300520549744027	0.032137335443003	1	0.0808555983700523	0.122508482378867	1	0.032137335443003	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_COAGULATION	3	3	0.3943451809724	0.422936673895524	0.394171475650622	0.424075896330137	0.0285914929231232	0.0299044206795155	1	0.0808555983700523	0.122508482378867	1	0.0299044206795155	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ESTROGEN_RESPONSE_LATE	3	3	0.406329861119195	0.434656703521533	0.406429953113288	0.43562764549167	0.0283268424023378	0.0291976923783813	1	0.0808555983700523	0.122508482378867	1	0.0291976923783813	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_APICAL_JUNCTION	3	3	0.43539459501542	0.459892711886456	0.437079338969072	0.462656711449219	0.0244981168710351	0.0255773724801466	1	0.0808555983700523	0.122508482378867	1	0.0255773724801466	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_BILE_ACID_METABOLISM	3	3	0.343130768699412	0.368409324827167	0.342960903473024	0.366656612025447	0.0252785561277555	0.0236957085524228	1	0.0808555983700523	0.122508482378867	1	0.0236957085524228	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_PROTEIN_SECRETION	3	3	0.823427229622924	0.800741608955632	0.822760398026881	0.801191441192662	-0.0226856206672926	-0.0215689568342191	-1	0.0808555983700523	0.122508482378867	1	0.0215689568342191	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ALLOGRAFT_REJECTION	3	3	0.493959890310171	0.528457986210242	0.492264893264162	0.51276224416708	0.0344980959000715	0.0204973509029177	1	0.0808555983700523	0.122508482378867	1	0.0204973509029177	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_WNT_BETA_CATENIN_SIGNALING	3	3	0.508426611963378	0.529939797728868	0.511164160928037	0.529834338381482	0.0215131857654902	0.0186701774534449	1	0.0808555983700523	0.122508482378867	1	0.0186701774534449	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_PI3K_AKT_MTOR_SIGNALING	3	3	0.703819724232538	0.72432566518341	0.704714254857057	0.722250042332913	0.0205059409508712	0.0175357874758555	1	0.0808555983700523	0.122508482378867	1	0.0175357874758555	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_INTERFERON_ALPHA_RESPONSE	3	3	0.545376894131735	0.678243696979976	0.540705831972612	0.576272320130088	0.132866802848241	0.0355664881574767	0.777777777777778	0.190430263825524	0.26448647753545	0.777777777777778	0.0355664881574767	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ANGIOGENESIS	3	3	0.528599853106347	0.506620076355364	0.532592584860859	0.497213675655054	-0.0219797767509826	-0.0353789092058043	-0.777777777777778	0.190430263825524	0.26448647753545	0.777777777777778	0.0353789092058043	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_MYC_TARGETS_V1	3	3	0.90934312119411	0.879759683788458	0.902179263471775	0.870576636196934	-0.0295834374056516	-0.0316026272748413	-0.777777777777778	0.190430263825524	0.26448647753545	0.777777777777778	0.0316026272748413	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_FATTY_ACID_METABOLISM	3	3	0.62915450069529	0.645759118117342	0.624752084316431	0.639444356624423	0.0166046174220519	0.0146922723079915	0.555555555555556	0.382733088885226	0.490683447288751	0.555555555555556	0.0146922723079915	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_TGF_BETA_SIGNALING	3	3	0.77175532990808	0.760196144132366	0.77600475904215	0.761377926559195	-0.011559185775714	-0.0146268324829547	-0.555555555555556	0.382733088885226	0.490683447288751	0.555555555555556	0.0146268324829547	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_PEROXISOME	3	3	0.593766460320133	0.600222864623362	0.589323125775086	0.599684602366085	0.00645640430322902	0.0103614765909984	0.555555555555556	0.382733088885226	0.490683447288751	0.555555555555556	0.0103614765909984	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_E2F_TARGETS	3	3	0.636427997595909	0.611195533829372	0.631730287339265	0.572014922672193	-0.0252324637665376	-0.0597153646670725	-0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.0597153646670725	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_G2M_CHECKPOINT	3	3	0.672238785753047	0.658023105305172	0.670241479024135	0.630705325183433	-0.0142156804478744	-0.0395361538407015	-0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.0395361538407015	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_NOTCH_SIGNALING	3	3	0.651829190184504	0.66524968644111	0.654752730365574	0.67620254339686	0.0134204962566058	0.0214498130312858	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.0214498130312858	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	3	3	0.770420239379061	0.783854733246773	0.765510581030581	0.784188874262783	0.013434493867712	0.0186782932322018	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.0186782932322018	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3	3	0.776086601903533	0.779783663786238	0.763692933390658	0.780648179671032	0.00369706188270491	0.0169552462803741	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.0169552462803741	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ANDROGEN_RESPONSE	3	3	0.708734779494892	0.715103922223137	0.710298533156113	0.719676849934151	0.00636914272824496	0.00937831677803835	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.00937831677803835	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ADIPOGENESIS	3	3	0.647197882707654	0.650170663056527	0.642831530525316	0.650853317284084	0.00297278034887372	0.00802178675876808	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.00802178675876808	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_DNA_REPAIR	3	3	0.653452635570912	0.663816927175808	0.647208105383012	0.653159979413567	0.0103642916048962	0.0059518740305543	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.0059518740305543	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_COMPLEMENT	3	3	0.567995693486837	0.580988006868699	0.568183979415801	0.569643515443275	0.012992313381862	0.00145953602747417	0.333333333333333	0.662520583540057	0.690125607854227	0.333333333333333	0.00145953602747417	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_SPERMATOGENESIS	3	3	0.248988106364681	0.248455021722272	0.249228289872578	0.247994699322992	-0.00053308464240942	-0.00123359054958552	-0.111111111111111	1	1	0.111111111111111	0.00123359054958552	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_UV_RESPONSE_DN	3	3	0.497977030343905	0.497584142643348	0.503116117200288	0.501982125705762	-0.000392887700556677	-0.00113399149452609	-0.111111111111111	1	1	0.111111111111111	0.00113399149452609	Higher_in_Control	FALSE
