Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_ANGIOGENESIS	3	3	0.622194896176585	0.588261699621218	0.623285572166916	0.585208239882478	-0.0339331965553675	-0.0380773322844383	-1	0.0808555983700523	0.118905291720665	1	0.0380773322844383	Higher_in_Control	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_E2F_TARGETS	3	3	0.6481332955789	0.616932322703679	0.647022492627771	0.609543444051914	-0.0312009728752214	-0.0374790485758575	-1	0.0808555983700523	0.118905291720665	1	0.0374790485758575	Higher_in_Control	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_TGF_BETA_SIGNALING	3	3	0.618384326746749	0.585478061523702	0.617805863257721	0.583949541833224	-0.0329062652230475	-0.033856321424497	-1	0.0808555983700523	0.118905291720665	1	0.033856321424497	Higher_in_Control	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_ESTROGEN_RESPONSE_EARLY	3	3	0.289576003202483	0.317565979253482	0.289335718851347	0.320951068502171	0.0279899760509992	0.0316153496508239	1	0.0808555983700523	0.118905291720665	1	0.0316153496508239	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3	3	0.559010779216404	0.591325211333861	0.562441014403362	0.590423486470643	0.0323144321174565	0.0279824720672809	1	0.0808555983700523	0.118905291720665	1	0.0279824720672809	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_DNA_REPAIR	3	3	0.418207747740632	0.447127913607937	0.420005469057079	0.446910534681531	0.0289201658673046	0.026905065624452	1	0.0808555983700523	0.118905291720665	1	0.026905065624452	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_APICAL_SURFACE	3	3	0.215357591466339	0.236088648772055	0.214257237726409	0.234775471155106	0.020731057305716	0.0205182334286977	1	0.0808555983700523	0.118905291720665	1	0.0205182334286977	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_PI3K_AKT_MTOR_SIGNALING	3	3	0.50837069833	0.484650825252873	0.507751464050892	0.487360230236503	-0.023719873077127	-0.0203912338143894	-1	0.0808555983700523	0.118905291720665	1	0.0203912338143894	Higher_in_Control	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_UV_RESPONSE_UP	3	3	0.395875782005992	0.412814316384336	0.394883473873468	0.414998374467393	0.0169385343783433	0.0201149005939245	1	0.0808555983700523	0.118905291720665	1	0.0201149005939245	Higher_in_Lineage_5	FALSE
BoMac	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_SPERMATOGENESIS	3	3	0.0862650934973576	0.0688610007232876	0.0862429091817349	0.0668358519289222	-0.01740409277407	-0.0194070572528128	-1	0.0808555983700523	0.118905291720665	1	0.0194070572528128	Higher_in_Control	FALSE
