R0168 R0169 R0171 R0187 R0189 R0190 R0318 R0320 R0322 R0330 R0332 R0334 R0420 R0422 R0424 R0426 R0428 R0430
ENSG00000288398 1357 1280 1036 1161 1164 1411 1470 1526 1516 1706 2246 1638 383 372 520 669 880 946
ENSG00000224621 0 0 4 0 0 2 0 0 2 0 0 0 2 0 4 1 0 0
ENSG00000239810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000285833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0
ENSG00000224459 0 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0
ENSG00000116731 8791 5906 8882 9310 8452 10929 4658 8161 8400 4960 6807 7743 5744 10258 6723 7228 6435 8793
ENSG00000116721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000215785 2 17 0 7 4 2 0 0 4 2 2 9 0 2 0 5 1 6
ENSG00000131697 4303 3127 3837 4735 4685 5344 2633 4350 4354 6587 7531 5354 3543 2934 4639 3209 2914 4323
ENSG00000284692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000284745 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0
ENSG00000225952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000280222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000088280 31 13 20 40 40 50 14 16 14 30 52 45 52 72 27 100 86 125
ENSG00000188807 4684 3430 4368 4684 4660 5208 5347 8095 7508 11755 12561 8306 4180 3958 5091 3713 2959 4599
ENSG00000284693 144 194 133 178 224 331 140 161 126 347 346 259 36 38 28 62 179 108
ENSG00000232298 7 1 2 2 3 4 0 9 18 6 7 8 19 2 0 11 0 0
ENSG00000227634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
ENSG00000225315 0 0 0 0 2 3 0 0 0 6 0 0 0 0 0 0 2 0
ENSG00000198793 22078 11600 22063 20642 19505 23580 10839 26203 25642 30052 37403 28713 5028 7378 5942 4794 6350 6157
ENSG00000078900 3121 2139 2799 3412 3543 3776 1592 3193 2865 6587 7286 5512 1404 1833 2182 772 530 1023
ENSG00000142661 2 2 4 10 10 6 0 2 0 0 0 0 2 6 4 8 2 2
ENSG00000285945 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0
ENSG00000171819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000229162 47 55 49 155 126 122 31 55 69 53 72 94 80 207 128 383 227 415
ENSG00000197921 0 2 0 0 4 0 0 2 0 0 0 0 10 0 6 14 12 2
ENSG00000233755 0 0 0 2 4 4 8 8 2 4 0 6 10 58 12 9 9 57
ENSG00000116288 31418 37200 28109 25359 23746 29435 40962 30473 29101 31634 36439 32457 17570 30823 26414 7817 36112 22167
ENSG00000238164 676 484 546 762 736 767 993 1390 1342 1770 2184 2010 1566 1022 2151 1016 842 1151
ENSG00000233929 4 33 10 5 2 4 7 6 1 3 0 2 114 18 134 44 53 76
ENSG00000287810 0 0 0 1 0 0 0 2 5 0 2 0 1 0 0 11 1 6
ENSG00000271742 39 11 23 5 9 12 2 4 2 7 4 2 0 2 6 4 16 3
ENSG00000142677 10 2 0 6 6 6 12 16 12 6 14 4 0 68 0 2 0 6
ENSG00000131910 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2
ENSG00000185436 8 9 12 6 18 14 2 4 4 0 0 0 34 115 42 82 28 64
ENSG00000131914 0 0 0 3 1 5 2 3 5 4 4 4 0 2 0 0 8 4
ENSG00000226396 63 41 48 33 34 35 123 86 100 33 54 47 280 119 292 181 290 141
ENSG00000232423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000229247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000169504 54900 51326 52103 62808 55663 73432 29572 34646 34384 13391 19843 29317 30352 46725 39413 15112 33679 29754
ENSG00000224311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000225159 52 67 46 36 20 50 39 28 42 26 26 45 39 26 74 12 68 58
ENSG00000260063 169 140 153 184 159 164 98 81 88 122 160 117 30 35 14 2 26 6
ENSG00000272088 2 2 2 4 0 2 2 3 0 0 0 4 6 0 10 13 14 4
ENSG00000228338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000270728 2 0 1 0 0 0 0 0 0 4 1 0 0 0 0 0 0 2
ENSG00000169641 27272 14632 26774 30571 28950 35633 11358 25361 25114 17221 22749 20352 11338 16137 13373 10551 11560 13339
ENSG00000181773 820 784 762 660 636 790 941 1015 1053 1026 1303 908 912 1398 1043 180 1144 309
ENSG00000175707 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 10 0
ENSG00000241547 75 21 102 82 71 137 37 133 106 111 138 86 77 45 84 66 31 75
ENSG00000224129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000234166 1 2 2 0 0 2 0 2 0 2 10 10 0 0 0 0 2 4
ENSG00000230228 6 10 2 3 7 7 4 5 3 2 6 8 9 4 5 3 9 3
ENSG00000237436 26 17 18 24 23 16 13 11 7 14 38 22 10 17 10 17 14 12
ENSG00000233954 5911 7447 5087 4637 4326 5723 6256 4752 4051 6489 7772 7000 6523 7019 8753 2956 9386 7382
ENSG00000174950 0 0 0 0 0 0 0 0 0 0 0 0 2 0 12 4 8 7
ENSG00000235282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000055070 47780 43103 43558 41794 40290 47820 41393 48242 45581 48217 55128 39761 45889 51203 61379 31616 64190 56237
ENSG00000225891 43 28 46 83 60 108 27 60 53 99 83 92 37 13 29 35 7 35
ENSG00000175087 1414 1383 1227 1497 1331 1650 1408 1475 1565 543 691 1594 488 496 604 482 718 838
ENSG00000171735 3838 4911 3361 3348 2832 3660 5559 4094 3922 4035 4925 4842 3857 4838 4908 2371 4746 4715
ENSG00000157191 23884 24788 21984 20534 19245 22928 16406 14423 13850 12508 15571 12191 13677 16578 19864 7945 18785 16882
ENSG00000270733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000284699 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000133226 21826 17184 21133 19465 17070 21638 16962 24460 24538 17254 22247 25787 16358 15051 19855 14303 15040 18032
ENSG00000229985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162482 144 119 86 102 88 98 77 54 71 125 135 112 231 129 348 276 246 274
ENSG00000230035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000235185 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000236782 42 76 48 20 64 16 130 102 34 110 122 78 74 34 66 38 124 114
ENSG00000215910 26 44 19 38 38 17 2 51 14 59 79 29 79 11 62 72 42 59
ENSG00000116663 1702 1890 1475 1489 1471 1750 5869 5545 5339 4436 4488 3505 2200 6270 4073 1806 2283 3637
ENSG00000225643 9 13 4 3 3 15 17 29 7 9 7 5 64 9 101 49 85 94
ENSG00000215695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000284666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000243659 13 8 11 10 10 10 7 8 13 7 20 8 38 14 33 11 6 33
ENSG00000240553 0 0 0 0 0 2 0 0 2 0 0 0 2 0 0 4 0 0
ENSG00000228943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000215906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000230703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000188822 0 0 2 0 2 10 2 6 2 2 10 2 0 6 2 6 6 8
ENSG00000232848 0 2 0 0 1 2 1 0 2 0 0 0 0 0 4 0 0 2
ENSG00000234397 2 4 8 0 3 2 2 0 0 2 2 0 2 0 0 0 2 2
ENSG00000090273 21721 25222 17961 16215 17022 17718 32978 24437 24208 30907 36597 31252 15828 19558 20868 11991 33465 27208
ENSG00000284309 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 2 0
ENSG00000227868 1 0 2 2 0 4 2 4 4 2 6 8 2 4 4 0 6 2
ENSG00000269925 129 86 96 127 115 176 171 143 149 107 123 149 47 100 55 61 58 52
ENSG00000142751 5997 6229 5587 5640 5643 6662 6119 6008 5609 7209 8390 6278 6988 6273 9414 5780 8258 9189
ENSG00000189266 24697 28374 22938 22545 19757 25020 28014 23569 24204 8347 11315 20894 20370 29533 27176 12665 29013 23600
ENSG00000162511 676479 553192 605489 593911 524903 651396 404129 510371 491151 410581 526576 475270 599010 575765 784074 278701 429448 509484
ENSG00000158014 0 0 0 2 0 0 0 0 0 0 0 2 60 0 36 0 4 0
ENSG00000204138 6795 5584 6351 8291 8313 9664 9746 11176 11111 9058 10418 10426 4354 9761 5786 5724 4985 6598
ENSG00000233419 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2
ENSG00000235263 0 2 0 0 2 0 0 2 0 0 2 2 2 0 0 0 2 0
ENSG00000228176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000229106 0 0 0 0 2 2 2 0 0 2 2 2 0 0 0 0 0 0
ENSG00000236155 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 2 1 0
ENSG00000231251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000142675 156 131 109 66 60 104 64 97 99 145 199 152 74 36 80 51 79 42
ENSG00000197245 5 4 6 8 4 0 4 4 6 4 2 2 4 0 10 16 36 10
ENSG00000231949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000261025 1 8 2 1 2 4 6 4 3 0 1 8 3 8 2 4 4 6
ENSG00000116237 17260 14436 16358 23188 21404 27579 16030 21265 20552 39235 45048 33768 6290 14201 7525 9445 11917 16637
ENSG00000158195 74333 58661 69270 59584 54592 67944 36125 50381 49599 49693 59174 44479 33069 33270 47064 22936 31229 35443
ENSG00000130772 4329 5365 3885 3865 3716 4493 4689 3269 3172 4025 4637 3764 3293 3511 4380 3697 8122 7726
ENSG00000215899 9 13 6 12 10 6 4 5 0 0 0 4 20 8 12 6 13 6
ENSG00000237429 15 10 10 8 10 29 2 0 4 21 23 16 2 5 0 2 0 6
ENSG00000271398 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 0 0 0
ENSG00000225011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000215905 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0
ENSG00000240731 280 209 239 276 257 267 131 284 266 257 324 170 182 162 203 272 130 210
ENSG00000235069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
