R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000017839 2 0 4 2 0 2 0 0 0 2 0 4 4 0 0 0 0 2
ENSBTAG00000044299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000046072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000048631 2 4 0 2 0 0 2 2 2 0 0 0 0 0 8 0 0 2
ENSBTAG00000043831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000001697 38087 39434 35096 39650 41900 36510 40502 45310 32050 39036 38452 33496 48372 42217 49136 37167 43029 47125
ENSBTAG00000034869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000046804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000015812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000048503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000007666 13703 13327 12449 16187 15500 12609 14334 14664 11420 16131 11435 11177 14997 12829 15726 16143 17894 18339
ENSBTAG00000050662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000054173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000023393 0 0 0 0 0 0 0 0 4 0 0 0 2 0 3 2 0 0
ENSBTAG00000049506 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000049468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000052340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000044154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000045424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000001749 12271 12843 11529 14669 13895 12547 10148 11647 8627 14415 12640 11662 13167 10949 13558 13882 15089 15405
ENSBTAG00000001535 2387 2711 2237 3213 3003 2741 3022 3016 2251 2362 1969 1629 2069 1900 2138 2274 2497 2533
ENSBTAG00000052530 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051908 6 3 0 2 12 4 6 6 2 4 0 2 2 6 14 2 4 7
ENSBTAG00000029106 1 0 0 7 6 1 3 4 2 0 1 1 2 2 2 4 2 0
ENSBTAG00000052321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000017115 5794 6067 5356 5380 5710 5180 9255 7240 6364 6634 7617 6115 7512 6461 7513 5927 6651 7587
ENSBTAG00000053953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000054015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
ENSBTAG00000052457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051579 51 63 23 120 98 70 54 69 53 64 62 61 76 55 76 69 124 117
ENSBTAG00000039602 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000017103 1280 1223 1167 1631 1545 1173 1210 1242 1060 1197 840 797 1540 1165 1276 1333 1610 1292
ENSBTAG00000050522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000010658 62577 64147 57110 72910 77844 65224 141232 111555 104170 75140 77127 68524 87256 75789 87004 63428 78965 94468
ENSBTAG00000037933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000055221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000052202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000046384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000019625 1844 1912 1904 1975 2022 1675 1567 1827 1156 2163 1442 1576 2473 1980 2461 2024 2249 2072
ENSBTAG00000019589 1083 1381 1154 1573 1536 1415 1829 1346 1446 1728 2034 1825 1143 1058 1039 1378 1717 2253
ENSBTAG00000039820 0 0 1 0 0 0 0 1 2 1 0 2 2 0 1 0 5 0
ENSBTAG00000039255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
ENSBTAG00000021901 17 16 16 2 8 8 4 6 4 13 5 5 4 4 5 11 6 6
ENSBTAG00000007296 186 220 207 200 221 211 222 269 177 239 243 201 277 242 288 275 286 273
ENSBTAG00000046909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000005212 2110 1863 1820 2185 1832 1411 2208 2251 1792 2069 1047 1172 2634 2368 2619 2620 2598 2175
ENSBTAG00000017882 1564 1386 1332 2575 2290 1795 4327 3851 3530 4719 3273 3323 3676 3267 3771 3384 4011 4192
ENSBTAG00000005209 10646 10827 9938 11178 10960 9518 11626 11612 8852 12370 9357 8844 11889 9987 11747 11575 13187 13562
ENSBTAG00000018607 2 0 0 4 10 9 10 2 0 6 5 4 2 2 0 2 2 0
ENSBTAG00000053879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000034854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000053978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051900 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000037662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000052773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000040291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000053056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000018610 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000030862 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000050038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000048090 6289 6728 5914 7068 7014 6640 9547 7909 6969 9181 9686 8249 7706 6356 7197 6912 7942 10101
ENSBTAG00000017321 13831 14219 13068 17045 17897 15954 24469 19198 18103 21938 24626 21960 18455 15311 17816 19419 24137 30122
ENSBTAG00000042595 0 0 0 0 0 0 0 0 0 0 2 0 3 4 1 2 0 0
ENSBTAG00000004139 8736 8077 7305 9834 8918 7302 6635 7969 5463 8767 6133 5988 10081 8552 9965 9563 10061 9312
ENSBTAG00000053175 2 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 1 2
